,ModelName,IsPretrained,Purpose,Epoch,"DiceAccuracy(threshold=0.5,smoothing=1) median","DiceAccuracy(threshold=0.5,smoothing=1) mean","DiceAccuracy(threshold=0.5,smoothing=1) std","DiceAccuracy(threshold=0.5,smoothing=1) count",DiceLoss(smoothing=1) median,DiceLoss(smoothing=1) mean,DiceLoss(smoothing=1) std,DiceLoss(smoothing=1) count
0,AttDs,pretrained,train,1,0.07312693819403646,0.17105766404420134,0.2426419608605866,20,0.1470035463571548,0.27515681274235243,0.21797757376800642,20
1,AttDs,pretrained,train,2,0.05213119648396965,0.08649603482335802,0.15146376457461572,20,0.06065929122269145,0.23400584738701577,0.22642109006988298,20
2,AttDs,pretrained,train,3,0.04555377736687655,0.04638774823397392,0.004990426216947342,20,0.05432789772748945,0.22647737786173816,0.22747632972783371,20
3,AttDs,pretrained,train,4,0.0427908115088939,0.04440492205321783,0.005071094303254251,20,0.051018256694078404,0.22238610871136183,0.22591219685574054,20
4,AttDs,pretrained,train,5,0.04220803081989285,0.04314501602202649,0.004766209953541412,20,0.04963592812418935,0.2211978085339069,0.226845267440207,20
5,AttDs,pretrained,train,6,0.0404990743845701,0.04128029271960253,0.0039022130883560237,20,0.0465244706720113,0.21578313242644068,0.2212404514198112,20
6,AttDs,pretrained,train,7,0.04003967531025405,0.04087367802858348,0.004526946934342897,20,0.049862669780850355,0.21699076034128661,0.22316228298934868,20
7,AttDs,pretrained,train,8,0.0408656001091003,0.04067855626344676,0.004224093706367539,20,0.0459129326045513,0.2166820609942078,0.2247773440685612,20
8,AttDs,pretrained,train,9,0.0413202159106731,0.04194074366241688,0.004968595422618701,20,0.04868480749428265,0.21967615634202953,0.22776640571744375,20
9,AttDs,pretrained,train,10,0.0392385311424732,0.04030187092721457,0.003484621015819842,20,0.045399112626910154,0.21550700832158323,0.22352634320590872,20
10,AttDs,pretrained,train,11,0.0398797784000635,0.039902580156922295,0.0034125943918541573,20,0.0440363455563783,0.21378139238804575,0.22121484042918815,20
11,AttDs,pretrained,train,12,0.0376754496246576,0.03875958956778046,0.002941036962063475,20,0.0445350985974073,0.21452002786099905,0.22305428079377507,20
12,AttDs,pretrained,train,13,0.03920219093561165,0.03951884917914862,0.004219830224677441,20,0.044343691319227205,0.21637022197246547,0.22701581797392414,20
13,AttDs,pretrained,train,14,0.038968332111835396,0.0391338530927896,0.003250874773012075,20,0.04366044886410235,0.21117136534303427,0.21938126003291372,20
14,AttDs,pretrained,train,15,0.03753058984875675,0.03811912555247541,0.0035765650106203972,20,0.044208025559782954,0.2092105805873871,0.21832493827584126,20
15,AttDs,pretrained,train,16,0.037780757993459646,0.03867445401847359,0.0036615502523941103,20,0.04320734925568095,0.21264524739235635,0.22266899625868217,20
16,AttDs,pretrained,train,17,0.0390949603170156,0.03862073794007298,0.0030721609759835925,20,0.04373867809772485,0.21199909206479783,0.22032122706430987,20
17,AttDs,pretrained,train,18,0.0379264671355485,0.037808954343199676,0.0022061778269523427,20,0.04253627546131605,0.20910061970353122,0.21751180318330407,20
