,ModelName,IsPretrained,Purpose,ImagesCount,"DiceAccuracy(threshold=0.5,smoothing=1) median","DiceAccuracy(threshold=0.5,smoothing=1) mean","DiceAccuracy(threshold=0.5,smoothing=1) std","DiceAccuracy(threshold=0.5,smoothing=1) count",DiceLoss(smoothing=1) median,DiceLoss(smoothing=1) mean,DiceLoss(smoothing=1) std,DiceLoss(smoothing=1) count
0,AttDs,pretrained,train,64,0.7420518100261688,0.7967041879892349,0.11308944480167402,20,0.7635168731212616,0.7630853712558746,0.014078117424720581,20
1,AttDs,pretrained,train,128,0.730490654706955,0.7766623646020889,0.11963818074298287,20,0.7527600526809692,0.7533934354782105,0.013568620516366165,20
2,AttDs,pretrained,train,192,0.7353768050670624,0.745755872130394,0.1341929622815974,20,0.7573643028736115,0.7571151345968247,0.010984839966910916,20
3,AttDs,pretrained,train,256,0.7053867280483246,0.6571646630764008,0.18669929216978406,20,0.7334250211715698,0.732509183883667,0.016922377897187264,20
4,AttDs,pretrained,train,320,0.6407192349433899,0.5636495597660541,0.23795580136884104,20,0.7093434035778046,0.7112465232610703,0.027431609286885955,20
5,AttDs,pretrained,train,384,0.4534868896007538,0.48114987164735795,0.2709504078583115,20,0.7018758654594421,0.6917891263961792,0.0317845581993906,20
6,AttDs,pretrained,train,448,0.31879723072052,0.4288252107799053,0.2858932353501402,20,0.6791563034057617,0.6739707797765732,0.03435048606295924,20
7,AttDs,pretrained,train,512,0.28065167367458344,0.395734828338027,0.2948436893917777,20,0.6617259085178375,0.650341945886612,0.04288771551275051,20
8,AttDs,pretrained,train,576,0.1971189826726913,0.37370741330087187,0.3059341222889355,20,0.651056706905365,0.634048342704773,0.045441948968775916,20
9,AttDs,pretrained,train,640,0.1847678050398826,0.352357093244791,0.30081393395465045,20,0.6327694952487946,0.6109839096665383,0.057544621750130136,20
10,AttDs,pretrained,train,704,0.1389941126108169,0.31883005239069456,0.30769460083597544,20,0.5944229364395142,0.582003889977932,0.07060580153426818,20
11,AttDs,pretrained,train,768,0.12587746977806086,0.3007182732224464,0.30392231103482725,20,0.5692376494407654,0.5535100668668747,0.0894907246629223,20
12,AttDs,pretrained,train,832,0.11511372029781336,0.2814869176596403,0.29788267977126887,20,0.5445106327533722,0.529370391368866,0.10751931055035413,20
13,AttDs,pretrained,train,896,0.1093160733580589,0.26738589555025094,0.30275351026758307,20,0.5049004554748535,0.5017104595899582,0.12333064145341116,20
14,AttDs,pretrained,train,960,0.10144447907805434,0.2583359163254499,0.3024243967293844,20,0.48998215794563293,0.47372322157025337,0.14260853040666793,20
15,AttDs,pretrained,train,1024,0.09236847236752505,0.2506650052964687,0.3028960719881511,20,0.46556147933006287,0.44579055085778235,0.15555957482811963,20
16,AttDs,pretrained,train,1088,0.0858994275331497,0.2316250070929527,0.29548331718417636,20,0.4619014859199524,0.42155990153551104,0.16793547494507444,20
17,AttDs,pretrained,train,1152,0.0813118293881416,0.22325307130813593,0.30083654624661205,20,0.4146904200315475,0.3957821510732174,0.17627286893233005,20
18,AttDs,pretrained,train,1216,0.08292116224765775,0.18791291899979112,0.24060055654097195,20,0.3733115643262863,0.37692909725010393,0.18411468910510687,20
19,AttDs,pretrained,train,1280,0.07899064570665355,0.1772916000336408,0.23981371605037535,20,0.3527390956878662,0.35883184261620044,0.18817997500229813,20
20,AttDs,pretrained,train,1344,0.0769901797175407,0.17550217323005196,0.24055257429842758,20,0.31971749663352966,0.3408825129270553,0.18882094281922054,20
