,ModelName,IsPretrained,Purpose,ImagesCount,"DiceAccuracy(threshold=0.5,smoothing=1) median","DiceAccuracy(threshold=0.5,smoothing=1) mean","DiceAccuracy(threshold=0.5,smoothing=1) std","DiceAccuracy(threshold=0.5,smoothing=1) count",DiceLoss(smoothing=1) median,DiceLoss(smoothing=1) mean,DiceLoss(smoothing=1) std,DiceLoss(smoothing=1) count
0,AttDs,pretrained,train,64,0.22211796045303345,0.18035138845443727,0.10920245597761041,10,0.7671369016170502,0.7676866710186004,0.015669376093364586,10
1,AttDs,pretrained,train,128,0.266200989484787,0.20909635424613954,0.1196392917004823,10,0.7534222900867462,0.755979698896408,0.015770620952809532,10
2,AttDs,pretrained,train,192,0.27734121680259705,0.25163795948028567,0.1441399121816162,10,0.758983701467514,0.7608907520771027,0.013077892057946485,10
3,AttDs,pretrained,train,256,0.3098644018173218,0.3377372264862061,0.22784294668332386,10,0.7314479351043701,0.7341989159584046,0.020424813576598838,10
4,AttDs,pretrained,train,320,0.33152320981025696,0.43979769200086594,0.2901256969457651,10,0.7093434035778046,0.7120051085948944,0.03328363769258625,10
5,AttDs,pretrained,train,384,0.5964664071798325,0.5324235618114471,0.32149622826576135,10,0.6950612962245941,0.6906922996044159,0.03970994686902038,10
6,AttDs,pretrained,train,448,0.7187773734331131,0.5723591037094593,0.33859923653290525,10,0.6765417456626892,0.676446408033371,0.04278173588393342,10
7,AttDs,pretrained,train,512,0.783867210149765,0.5973530635237694,0.3533717622249005,10,0.6554924547672272,0.6480349719524383,0.048926861488984875,10
8,AttDs,pretrained,train,576,0.8159476220607758,0.6016416296362876,0.35773617805603114,10,0.6372327506542206,0.6364845395088196,0.04603354062855469,10
9,AttDs,pretrained,train,640,0.8243132308125496,0.6048591017723084,0.3569469033565602,10,0.6235254406929016,0.6205081820487977,0.05729834039170875,10
10,AttDs,pretrained,train,704,0.8912739604711533,0.6261020883917808,0.37138369979419966,10,0.5982638299465179,0.5956485748291016,0.07062194461348961,10
11,AttDs,pretrained,train,768,0.8935113288462162,0.6417211875319481,0.3625234412775312,10,0.5929969847202301,0.5751946359872818,0.08141258239912721,10
12,AttDs,pretrained,train,832,0.9020146988332272,0.6649153038859368,0.3524938811515924,10,0.5937138795852661,0.565593034029007,0.09684352721372463,10
13,AttDs,pretrained,train,896,0.9022749997675419,0.6817771509289742,0.36091972163589503,10,0.576157808303833,0.548013198375702,0.10950218106790004,10
14,AttDs,pretrained,train,960,0.9072048552334309,0.6928302831947803,0.36167674604358657,10,0.5749341249465942,0.5355571717023849,0.11787955662673688,10
15,AttDs,pretrained,train,1024,0.9088084809482098,0.6936127454042434,0.3643558018292719,10,0.563685953617096,0.5182563424110412,0.12463222635871554,10
16,AttDs,pretrained,train,1088,0.9133135303854943,0.6974752493202686,0.3621397677443752,10,0.5464342534542084,0.5068593725562096,0.1306462069784587,10
17,AttDs,pretrained,train,1152,0.9177889414131641,0.6994091175496578,0.36830302370862084,10,0.5014538019895554,0.4852227449417114,0.1402181640759164,10
18,AttDs,pretrained,train,1216,0.916652861982584,0.7690411321818829,0.2746469070075198,10,0.4796487540006637,0.4718676954507828,0.14866953144473474,10
19,AttDs,pretrained,train,1280,0.9220951646566391,0.791028255969286,0.27608806450738305,10,0.47982628643512726,0.4588210925459862,0.15587205213060804,10
20,AttDs,pretrained,train,1344,0.9230098202824593,0.7942934952676296,0.27819169366511964,10,0.4518277645111084,0.4372174099087715,0.16501439609889526,10
21,AttDs,pretrained,train,1408,0.9206328317523003,0.7927604705095292,0.2769731095930341,10,0.4300455302000046,0.4202245771884918,0.1747023942280662,10
22,AttDs,pretrained,train,1472,0.9228514656424522,0.7931224919855595,0.28019559915618714,10,0.4414827525615692,0.4040606886148453,0.1959000258532411,10
23,AttDs,pretrained,train,1536,0.929168451577425,0.7969708688557148,0.27830978586843935,10,0.4138283282518387,0.38202271312475206,0.2025298095081278,10
24,AttDs,pretrained,train,1600,0.9271726571023464,0.7961018681526184,0.2788653433618716,10,0.41796083748340607,0.37012710347771643,0.21280116449992967,10
25,AttDs,pretrained,train,1631,0.9248940646648407,0.795336977019906,0.28184779789735137,10,0.41418133676052094,0.3715231224894523,0.2274482617481835,10
26,AttDs,pretrained,train,1663,0.9302672669291496,0.7971637681126594,0.27879431988821346,10,0.4146790951490402,0.36093737483024596,0.221582063022416,10
27,AttDs,pretrained,train,1727,0.9273190572857857,0.797787718474865,0.28417636249488176,10,0.413057804107666,0.36101110130548475,0.23480904670861727,10
28,AttDs,pretrained,train,1791,0.9303385838866234,0.7985109627246857,0.28291870661577534,10,0.40587879717350006,0.3530396625399589,0.23357988730305645,10
29,AttDs,pretrained,train,1855,0.9335298128426075,0.8015569645911456,0.2778766111511688,10,0.3981745392084121,0.34545864164829254,0.23183181228745525,10
30,AttDs,pretrained,train,1919,0.9327688328921795,0.8026935890316963,0.2760697902937925,10,0.40860244631767273,0.34517106264829633,0.23339074085452094,10
31,AttDs,pretrained,train,1983,0.9363619722425938,0.8020309064537287,0.28451828418387254,10,0.3985442966222763,0.34359638690948485,0.23919217119052996,10
32,AttDs,pretrained,train,2047,0.9362589120864868,0.8453098468482494,0.21830276103252708,10,0.398721382021904,0.33936801552772516,0.24035067931111265,10
33,AttDs,pretrained,train,2111,0.9376186151057483,0.8679408743977547,0.2093786182437085,10,0.3971644192934036,0.34207612574100493,0.24301765039206302,10
34,AttDs,pretrained,train,2175,0.9368175398558378,0.8712059628218413,0.20975815900023057,10,0.39123082160949707,0.33696322366595266,0.2382403456162123,10
