,ModelName,IsPretrained,Purpose,ImagesCount,"DiceAccuracy(threshold=0.5,smoothing=1) median","DiceAccuracy(threshold=0.5,smoothing=1) mean","DiceAccuracy(threshold=0.5,smoothing=1) std","DiceAccuracy(threshold=0.5,smoothing=1) count",DiceLoss(smoothing=1) median,DiceLoss(smoothing=1) mean,DiceLoss(smoothing=1) std,DiceLoss(smoothing=1) count
0,DenseNet,non-pretrained,train,64,0.27394193410873413,0.22348856329917907,0.11873751777439748,10,0.7605797350406647,0.7643148720264434,0.016658609658319716,10
1,DenseNet,non-pretrained,train,128,0.2877209782600403,0.254383510351181,0.13833542436746596,10,0.7475602924823761,0.7485923588275909,0.020942602677301893,10
2,DenseNet,non-pretrained,train,192,0.27880921959877014,0.28428433537483216,0.17583639629487452,10,0.7455776929855347,0.7472415804862976,0.027126184568979753,10
3,DenseNet,non-pretrained,train,256,0.31056860089302063,0.34740723967552184,0.2382871695553129,10,0.7241916656494141,0.7230826020240784,0.031794055984673414,10
4,DenseNet,non-pretrained,train,320,0.34613510966300964,0.3833244577050209,0.2734891015943533,10,0.7202243804931641,0.7113532841205596,0.036713859719168594,10
5,DenseNet,non-pretrained,train,384,0.4031221270561218,0.41871836632490156,0.29726971130840435,10,0.7076255679130554,0.6967996478080749,0.04597739463827975,10
6,DenseNet,non-pretrained,train,448,0.4358788728713989,0.42614198476076126,0.2887389530279825,10,0.7030850350856781,0.6899430274963378,0.04682225994444266,10
7,DenseNet,non-pretrained,train,512,0.49906837940216064,0.4844459563493729,0.27510203775451564,10,0.6851328909397125,0.6637979984283447,0.05443680543728352,10
8,DenseNet,non-pretrained,train,576,0.5769369751214981,0.5258841857314109,0.27496068934330475,10,0.6733147501945496,0.6524212658405304,0.06322756570691238,10
9,DenseNet,non-pretrained,train,640,0.635032057762146,0.5602096796035767,0.2918258603476106,10,0.6579649150371552,0.636601597070694,0.0640224967089268,10
10,DenseNet,non-pretrained,train,704,0.678325280547142,0.5879914328455925,0.3060329604554513,10,0.6203300356864929,0.6077101320028305,0.07400659098681216,10
11,DenseNet,non-pretrained,train,768,0.7207814380526543,0.6056509271264077,0.30965126914857466,10,0.6084671914577484,0.5846802920103074,0.08614325888790275,10
12,DenseNet,non-pretrained,train,832,0.7357097566127777,0.6358356833457947,0.29406235461549607,10,0.5964990556240082,0.5677524894475937,0.09496828125217216,10
13,DenseNet,non-pretrained,train,896,0.7794125229120255,0.6742370776832104,0.2881505091098328,10,0.5693004131317139,0.5470655709505081,0.09704452677873052,10
14,DenseNet,non-pretrained,train,960,0.8210522010922432,0.7385884657502174,0.2631734862474042,10,0.5530844330787659,0.5223862290382385,0.1099520289556135,10
15,DenseNet,non-pretrained,train,1024,0.8462453037500381,0.7546594500541687,0.2673374140910601,10,0.5369060933589935,0.49468193501234053,0.12081333633497583,10
16,DenseNet,non-pretrained,train,1088,0.8385933712124825,0.7522790811955928,0.26673621839814377,10,0.5062852948904037,0.47418720126152036,0.12018578345292906,10
17,DenseNet,non-pretrained,train,1152,0.851706899702549,0.7668588973581791,0.2703351877810647,10,0.47034192085266113,0.44279937297105787,0.12465302895442086,10
18,DenseNet,non-pretrained,train,1216,0.8476464003324509,0.7654525846242904,0.26929775870547956,10,0.42176592350006104,0.4168117314577103,0.1298004964062727,10
19,DenseNet,non-pretrained,train,1280,0.8600811213254929,0.7712169699370861,0.271713904936904,10,0.4074894040822983,0.39787378013134,0.13895182971162623,10
20,DenseNet,non-pretrained,train,1344,0.8553633168339729,0.7732570029795169,0.2721282031548395,10,0.3672972619533539,0.3719427451491356,0.14429447175301913,10
21,DenseNet,non-pretrained,train,1408,0.8640244677662849,0.778543009608984,0.273881068354199,10,0.34846286475658417,0.3505382835865021,0.15020641781633554,10
22,DenseNet,non-pretrained,train,1472,0.8710078969597816,0.7792021043598651,0.27444914740394455,10,0.3425059169530868,0.33931974470615384,0.1615686638301793,10
23,DenseNet,non-pretrained,train,1536,0.8675300180912018,0.7837321035563946,0.2756082531590801,10,0.3323547840118408,0.3249748051166534,0.1603860902351569,10
24,DenseNet,non-pretrained,train,1600,0.8669997975230217,0.7831796541810035,0.2754777188454655,10,0.32216204702854156,0.3128032356500625,0.15721243184099556,10
25,DenseNet,non-pretrained,train,1631,0.8724206686019897,0.7871659815311431,0.2768280793081346,10,0.3090283870697021,0.3075371131300926,0.1505725831312485,10
26,DenseNet,non-pretrained,train,1663,0.877629965543747,0.7902897007763385,0.2783281164067912,10,0.30350878834724426,0.29440963864326475,0.15252888368265427,10
27,DenseNet,non-pretrained,train,1727,0.8792065344750881,0.7961687363684178,0.2800662335761714,10,0.2861233502626419,0.28745518624782557,0.15765422944987037,10
28,DenseNet,non-pretrained,train,1791,0.8953313902020454,0.8003446310758591,0.28182468230117275,10,0.2757430821657181,0.2756482020020484,0.1609757415040391,10
29,DenseNet,non-pretrained,train,1855,0.8839181810617447,0.7935165412724018,0.27907266168377903,10,0.24550653249025345,0.2704819589853287,0.15619659870881714,10
30,DenseNet,non-pretrained,train,1919,0.8914764672517776,0.8684587739408016,0.07137116558758258,10,0.22897025197744367,0.26163642331957815,0.1593846961744484,10
31,DenseNet,non-pretrained,train,1983,0.8942339941859245,0.8925502590835095,0.014544532733621017,10,0.22176958620548246,0.26186195984482763,0.16600952512265632,10
32,DenseNet,non-pretrained,train,2047,0.8949574083089828,0.8965054601430893,0.01660240613120168,10,0.21436800807714457,0.251805667579174,0.16253698640028297,10
