Wall time,Step,Value
1650711642.9029202,64,0.7182431817054749
1650711655.6386998,128,0.744050920009613
1650711670.6890795,192,0.7488318085670471
1650711684.79332,256,0.7339737415313721
1650711699.3930228,320,0.7416139841079712
1650711714.8686686,384,0.7417848706245422
1650711728.9720616,448,0.7210913896560669
1650711741.8789158,512,0.725571870803833
1650711756.8668854,576,0.7369919419288635
1650711770.7192757,640,0.7297700047492981
1650711783.8554323,704,0.7483820915222168
1650711796.691701,768,0.7343948483467102
1650711810.7637694,832,0.7413548231124878
1650711824.6429808,896,0.7353116273880005
1650711839.15318,960,0.7434873580932617
1650711855.4810753,1024,0.733950138092041
1650711868.8534696,1088,0.7320601344108582
1650711882.6059172,1152,0.7291767597198486
1650711897.1761022,1216,0.7320966124534607
1650711910.512743,1280,0.7346734404563904
1650711926.9586985,1344,0.7328305244445801
1650711940.4077985,1408,0.7471467852592468
1650711953.2053518,1472,0.741217315196991
1650711966.5258172,1536,0.7394153475761414
1650711978.7753973,1600,0.7439029812812805
1650711987.4537919,1631,0.7225332856178284
1650712045.1640651,1663,0.7236505746841431
1650712058.9047658,1727,0.7053318023681641
1650712070.0361712,1791,0.30484136939048767
1650712081.8787494,1855,0.10001696646213531
1650712097.8000891,1919,0.08288604021072388
1650712111.6748042,1983,0.07403894513845444
1650712123.9839501,2047,0.0681922435760498
1650712135.3689344,2111,0.06861742585897446
1650712146.7902212,2175,0.06820908933877945
1650712160.4891436,2239,0.06622173637151718
1650712174.0071034,2303,0.06641729921102524
1650712189.686638,2367,0.06536233425140381
1650712203.3193955,2431,0.06006127595901489
1650712217.6709046,2495,0.07373623549938202
1650712229.3009791,2559,0.06006520614027977
1650712243.3154798,2623,0.0545220784842968
1650712254.6197574,2687,0.05908041447401047
1650712266.7238877,2751,0.05592457950115204
1650712280.812508,2815,0.05842208117246628
1650712292.672001,2879,0.06370066851377487
1650712306.1433506,2943,0.05599064752459526
1650712319.0455532,3007,0.06082282215356827
1650712330.5005715,3071,0.057599376887083054
1650712343.5133924,3135,0.05788635462522507
1650712358.2466915,3199,0.05029952526092529
1650712370.9268205,3262,0.05478409677743912
