,ImagesCount,ModelName,IsPretrained,Purpose,TrialNumber,"DiceAccuracy(threshold=0.5,smoothing=1)",DiceLoss(smoothing=1)
8240,27696,AttDs,pretrained,train,11,0.9643070250749588,0.0386804454028606
8241,27727,AttDs,pretrained,train,11,0.9613624885678292,0.0414951629936695
8242,27759,AttDs,pretrained,train,11,0.9643589332699776,0.0387134701013565
8243,27823,AttDs,pretrained,train,11,0.9639066234230996,0.0393515117466449
8244,27887,AttDs,pretrained,train,11,0.9626920856535435,0.0402932949364185
8245,27951,AttDs,pretrained,train,11,0.9645974077284337,0.0385456904768943
8246,28015,AttDs,pretrained,train,11,0.9621489085257054,0.0407536178827285
8247,28079,AttDs,pretrained,train,11,0.9643813967704773,0.0387403853237628
8248,28143,AttDs,pretrained,train,11,0.9632821790874005,0.0397792160511016
8249,28207,AttDs,pretrained,train,11,0.9574176631867886,0.0455795228481292
8250,28271,AttDs,pretrained,train,11,0.9621073231101037,0.0408735461533069
8251,28335,AttDs,pretrained,train,11,0.9638319090008736,0.0392717123031616
8252,28399,AttDs,pretrained,train,11,0.9647067859768867,0.0383854731917381
8253,28463,AttDs,pretrained,train,11,0.9634710028767586,0.0395126193761825
8254,28527,AttDs,pretrained,train,11,0.9599935710430146,0.0430457554757595
8255,28591,AttDs,pretrained,train,11,0.9633730910718441,0.0396474041044712
8256,28655,AttDs,pretrained,train,11,0.9652659893035889,0.0376459881663322
8257,28719,AttDs,pretrained,train,11,0.963286615908146,0.0397839248180389
8258,28783,AttDs,pretrained,train,11,0.9640208259224892,0.0390808396041393
8259,28847,AttDs,pretrained,train,11,0.9661089219152929,0.0371572934091091
8260,28911,AttDs,pretrained,train,11,0.9609184823930264,0.0421554446220397
8261,28975,AttDs,pretrained,train,11,0.9645456187427044,0.0384484678506851
8262,29039,AttDs,pretrained,train,11,0.9636243768036366,0.0391897559165954
8263,29103,AttDs,pretrained,train,11,0.9633705914020539,0.039651907980442
8264,29167,AttDs,pretrained,train,11,0.9642347916960717,0.0388070866465568
8265,29231,AttDs,pretrained,train,11,0.9637715443968773,0.0390842519700527
8266,29295,AttDs,pretrained,train,11,0.9628653414547445,0.0400550365447998
8267,29358,AttDs,pretrained,train,11,0.9662030376493931,0.0369583368301391
