,ModelName,IsPretrained,Purpose,Epoch,"DiceAccuracy(threshold=0.5,smoothing=1) median","DiceAccuracy(threshold=0.5,smoothing=1) mean","DiceAccuracy(threshold=0.5,smoothing=1) std","DiceAccuracy(threshold=0.5,smoothing=1) count",DiceLoss(smoothing=1) median,DiceLoss(smoothing=1) mean,DiceLoss(smoothing=1) std,DiceLoss(smoothing=1) count
0,DenseNet,non-pretrained,train,1,0.8724206686019897,0.7871659815311431,0.2768280793081346,10,0.3090283870697021,0.3075371131300926,0.1505725831312485,10
1,DenseNet,non-pretrained,train,2,0.9235432408750058,0.9224243864417077,0.007370334940487316,10,0.16270763427019116,0.22209399864077564,0.16534461615834417,10
2,DenseNet,non-pretrained,train,3,0.9372724704444408,0.937621683627367,0.005716736619217582,10,0.14701092615723604,0.20523821637034412,0.1683291111319881,10
3,DenseNet,non-pretrained,train,4,0.9384035281836987,0.9377940934151411,0.005888332708000713,10,0.1403766870498657,0.20268290080130097,0.16986429953695992,10
4,DenseNet,non-pretrained,train,5,0.9434775933623314,0.9424804281443357,0.005448222021390285,10,0.13345730304718015,0.2015785858035087,0.17358566746767298,10
5,DenseNet,non-pretrained,train,6,0.9452645350247622,0.9451204285025596,0.0034982112527209295,10,0.13099189847707746,0.19322510883212088,0.16507569499764826,10
6,DenseNet,non-pretrained,train,7,0.9451624155044556,0.9440866552293301,0.004797125664016515,10,0.13553161546587938,0.19510445706546303,0.16446758628725713,10
7,DenseNet,non-pretrained,train,8,0.9483596980571747,0.947158120945096,0.004300544316645664,10,0.1292106602340936,0.1900206837803125,0.16419341976435906,10
8,DenseNet,non-pretrained,train,9,0.9475348610430956,0.9455316536128521,0.0062998483115168456,10,0.12939068675041193,0.19441081285476683,0.16883709981100326,10
9,DenseNet,non-pretrained,train,10,0.9459609966725111,0.946347501501441,0.003418944062869857,10,0.1284708157181739,0.19310162216424936,0.16647463112200947,10
10,DenseNet,non-pretrained,train,11,0.9491891302168369,0.948627670109272,0.0038938457339620157,10,0.12483655661344524,0.1893313061445951,0.1656375115992487,10
11,DenseNet,non-pretrained,train,12,0.9512002095580101,0.949885131046176,0.005415828212243059,10,0.12670928984880445,0.18631766252219673,0.16212794382998577,10
12,DenseNet,non-pretrained,train,13,0.9507097471505404,0.9512899369001389,0.00427148159132989,10,0.1268409080803394,0.18663907572627064,0.16394735789568432,10
13,DenseNet,non-pretrained,train,14,0.9506444279104471,0.9500947259366512,0.004106719878230736,10,0.12578392215073103,0.18559303656220433,0.1618896848882033,10
14,DenseNet,non-pretrained,train,15,0.9506052397191525,0.951236380264163,0.0033299724448043366,10,0.12180861458182335,0.1863677244633436,0.1633019682570269,10
15,DenseNet,non-pretrained,train,16,0.9504622668027879,0.9507950559258461,0.003658948355205997,10,0.1238724403083324,0.18566897511482236,0.1631001084356134,10
16,DenseNet,non-pretrained,train,17,0.9507404696196318,0.9505222570151091,0.004707015623677202,10,0.12296229787170884,0.1873629983514547,0.16778960617159758,10
17,DenseNet,non-pretrained,train,18,0.9521137326955795,0.9521484281867743,0.003982452493254669,10,0.1238490268588066,0.18333773761987684,0.16145789521298712,10
18,DenseNet,non-pretrained,train,19,0.9516446311026812,0.9502699635922909,0.0045671143613170645,10,0.12128171510994429,0.18889617063105102,0.17021501827156432,10
19,DenseNet,non-pretrained,train,20,0.9492569994181395,0.9497697092592716,0.003142440370771122,10,0.1236973125487566,0.18793711662292478,0.16643112450621556,10
20,DenseNet,non-pretrained,train,21,0.9533794205635786,0.9521366745233536,0.00595390711358227,10,0.12808717973530284,0.18676294982433317,0.164945425840457,10
21,DenseNet,non-pretrained,train,22,0.9496474359184504,0.9500759035348892,0.0028195507800980388,10,0.12513680011034004,0.18795656450092788,0.16624190959039034,10
22,DenseNet,non-pretrained,train,23,0.9504389017820359,0.9515253935009241,0.00348029924908154,10,0.12222493439912795,0.18660081960260863,0.16768139971960522,10
23,DenseNet,non-pretrained,train,24,0.9523205813020469,0.9525527935475111,0.0032135850368670647,10,0.1197827402502298,0.18303318992257114,0.16028354553005555,10
24,DenseNet,non-pretrained,train,25,0.9525963999330997,0.9517613932490349,0.006507018967430513,10,0.11983897723257535,0.18309092037379734,0.16055765017877682,10
25,DenseNet,non-pretrained,train,26,0.9508742969483137,0.9506319507956504,0.002973574626657589,10,0.12319247610867015,0.1872494257986545,0.16665776446208688,10
26,DenseNet,non-pretrained,train,27,0.9501056764274836,0.9497517567127943,0.007401475920294226,10,0.12314103916287415,0.18634886071085927,0.16415407335432514,10
27,DenseNet,non-pretrained,train,28,0.9536519143730402,0.953271834924817,0.002868914030953743,10,0.12295926176011561,0.18383968062698838,0.16227002392601916,10
28,DenseNet,non-pretrained,train,29,0.9525548778474331,0.9515097375959158,0.005959685339336618,10,0.12986657768487925,0.18491919562220568,0.16088922910823192,10
29,DenseNet,non-pretrained,train,30,0.9504858199506998,0.9498890958726406,0.004641124337510317,10,0.12647951766848559,0.18981410339474675,0.17093123852761608,10
30,DenseNet,non-pretrained,validation,1,0.8036273121833801,0.726266410946846,0.26217108926803356,10,0.3225618898868561,0.3421596378087997,0.12686581057002216,10
31,DenseNet,non-pretrained,validation,2,0.9292475767433643,0.9260862074792385,0.007230777576655685,10,0.15688861906528465,0.22063485011458392,0.169476133891772,10
32,DenseNet,non-pretrained,validation,3,0.9374650660902262,0.93785798586905,0.0035965634631433953,10,0.14251412451267237,0.20430380180478092,0.1668287678849328,10
