Wall time,Step,Value
1650159412.5977087,64,0.7162320613861084
1650159423.5867927,128,0.6851948499679565
1650159434.5028133,192,0.7053775787353516
1650159445.4871967,256,0.6064708232879639
1650159457.1021366,320,0.5331614017486572
1650159468.6870723,384,0.5470137000083923
1650159482.0374727,448,0.46022316813468933
1650159492.8960342,512,0.4423089027404785
1650159504.4084058,576,0.4126441478729248
1650159515.870148,640,0.37005144357681274
1650159527.3256893,704,0.33826273679733276
1650159538.8302565,768,0.23990437388420105
1650159548.6755042,832,0.2410619854927063
1650159560.409754,896,0.2355264276266098
1650159574.140412,960,0.2329438477754593
1650159586.5155878,1024,0.24676333367824554
1650159598.8642821,1088,0.19913128018379211
1650159609.4273374,1152,0.2688407003879547
1650159619.9334128,1216,0.28644636273384094
1650159630.1767948,1280,0.23695527017116547
1650159641.7154841,1344,0.20485487580299377
1650159651.1605983,1408,0.17783913016319275
1650159663.1974623,1472,0.18551895022392273
1650159676.0946872,1536,0.14908763766288757
1650159687.2175786,1600,0.14707869291305542
1650159697.4902983,1631,0.13443802297115326
1650159749.077227,1663,0.1466701328754425
1650159761.1395109,1727,0.15323595702648163
1650159771.7529073,1791,0.13100095093250275
1650159780.955046,1855,0.13707363605499268
1650159794.2189915,1919,0.14825214445590973
1650159804.9293613,1983,0.14672508835792542
1650159816.8809257,2047,0.15626093745231628
1650159828.7660444,2111,0.12767192721366882
1650159840.2201228,2175,0.1094246506690979
1650159851.878942,2239,0.12390929460525513
1650159863.8536434,2303,0.12420206516981125
1650159873.4343247,2367,0.10910294950008392
1650159884.5221093,2431,0.11375775933265686
1650159895.0772994,2495,0.10858907550573349
1650159904.603776,2559,0.10648588836193085
1650159917.7594337,2623,0.10483354330062866
1650159930.1818407,2687,0.09849952161312103
1650159942.8378837,2751,0.10523323714733124
1650159949.4625947,2815,0.09866999089717865
1650159959.527053,2879,0.10073312371969223
1650159970.2859747,2943,0.0883500874042511
1650159981.2168357,3007,0.08957245200872421
1650159990.9899924,3071,0.08841584622859955
1650160002.7336125,3135,0.10086660087108612
1650160014.499844,3199,0.09376169741153717
1650160025.2484438,3262,0.09119218587875366
1650160078.520843,3326,0.0863243043422699
1650160089.13166,3390,0.08651118725538254
1650160098.641383,3454,0.08632900565862656
1650160108.7650692,3518,0.07967431843280792
1650160119.1138086,3582,0.08722557872533798
1650160128.9664006,3646,0.09262621402740479
1650160140.691396,3710,0.08199067413806915
1650160150.9457242,3774,0.09839540719985962
1650160162.808818,3838,0.08170894533395767
1650160173.3008626,3902,0.0784071534872055
1650160183.0482213,3966,0.07694371044635773
1650160193.6053824,4030,0.08315835893154144
1650160204.8321972,4094,0.08961896598339081
1650160216.6454124,4158,0.08825207501649857
1650160227.7252104,4222,0.08266718685626984
1650160237.6710663,4286,0.0726710706949234
1650160248.5264542,4350,0.08482799679040909
