,ModelName,IsPretrained,Purpose,Epoch,"DiceAccuracy(threshold=0.5,smoothing=1) median","DiceAccuracy(threshold=0.5,smoothing=1) mean","DiceAccuracy(threshold=0.5,smoothing=1) std","DiceAccuracy(threshold=0.5,smoothing=1) count",DiceLoss(smoothing=1) median,DiceLoss(smoothing=1) mean,DiceLoss(smoothing=1) std,DiceLoss(smoothing=1) count
0,AttDs,pretrained,train,1,0.9268730618059635,0.8289423359557986,0.2426419608605866,20,0.1470035463571548,0.27515681274235243,0.21797757376800642,20
1,AttDs,pretrained,train,2,0.9478688035160303,0.9135039651766419,0.15146376457461572,20,0.06065929122269145,0.23400584738701577,0.22642109006988298,20
2,AttDs,pretrained,train,3,0.9544462226331234,0.953612251766026,0.004990426216947369,20,0.05432789772748945,0.22647737786173816,0.22747632972783371,20
3,AttDs,pretrained,train,4,0.9572091884911061,0.9555950779467821,0.005071094303254295,20,0.051018256694078404,0.22238610871136183,0.22591219685574054,20
4,AttDs,pretrained,train,5,0.9577919691801071,0.9568549839779734,0.0047662099535414225,20,0.04963592812418935,0.2211978085339069,0.226845267440207,20
5,AttDs,pretrained,train,6,0.9595009256154299,0.9587197072803975,0.0039022130883560077,20,0.0465244706720113,0.21578313242644068,0.2212404514198112,20
6,AttDs,pretrained,train,7,0.9599603246897459,0.9591263219714165,0.004526946934342892,20,0.049862669780850355,0.21699076034128661,0.22316228298934868,20
7,AttDs,pretrained,train,8,0.9591343998908997,0.9593214437365531,0.004224093706367562,20,0.0459129326045513,0.2166820609942078,0.2247773440685612,20
8,AttDs,pretrained,train,9,0.9586797840893269,0.958059256337583,0.0049685954226186945,20,0.04868480749428265,0.21967615634202953,0.22776640571744375,20
9,AttDs,pretrained,train,10,0.9607614688575268,0.9596981290727854,0.003484621015819865,20,0.045399112626910154,0.21550700832158323,0.22352634320590872,20
10,AttDs,pretrained,train,11,0.9601202215999365,0.9600974198430776,0.0034125943918541695,20,0.0440363455563783,0.21378139238804575,0.22121484042918815,20
11,AttDs,pretrained,train,12,0.9623245503753424,0.9612404104322195,0.0029410369620634655,20,0.0445350985974073,0.21452002786099905,0.22305428079377507,20
12,AttDs,pretrained,train,13,0.9607978090643884,0.9604811508208513,0.004219830224677467,20,0.044343691319227205,0.21637022197246547,0.22701581797392414,20
13,AttDs,pretrained,train,14,0.9610316678881646,0.9608661469072104,0.0032508747730120853,20,0.04366044886410235,0.21117136534303427,0.21938126003291372,20
14,AttDs,pretrained,train,15,0.9624694101512432,0.9618808744475246,0.003576565010620411,20,0.044208025559782954,0.2092105805873871,0.21832493827584126,20
15,AttDs,pretrained,train,16,0.9622192420065403,0.9613255459815264,0.0036615502523941247,20,0.04320734925568095,0.21264524739235635,0.22266899625868217,20
16,AttDs,pretrained,train,17,0.9609050396829844,0.961379262059927,0.0030721609759836,20,0.04373867809772485,0.21199909206479783,0.22032122706430987,20
17,AttDs,pretrained,train,18,0.9620735328644515,0.9621910456568002,0.0022061778269523366,20,0.04253627546131605,0.20910061970353122,0.21751180318330407,20
18,AttDs,pretrained,train,19,0.9608732219785452,0.9606252757832408,0.0029484671805003622,20,0.04519799351692195,0.21229027621448035,0.21980423430020946,20
19,AttDs,pretrained,train,20,0.961106825619936,0.9604977065697312,0.003717680357891037,20,0.0422813389450311,0.2134157886728644,0.22281283178706035,20
20,AttDs,pretrained,train,21,0.9626782741397619,0.9614196721464395,0.004372598740711902,20,0.04865838028490535,0.2127367857843637,0.22094585178237644,20
21,AttDs,pretrained,train,22,0.9610907714813948,0.9609507210552692,0.0029566559414865036,20,0.0441148784011602,0.21208556387573477,0.21995553158601022,20
22,AttDs,pretrained,train,23,0.963014204055071,0.9617191638797522,0.0036709243549385316,20,0.04446268454194065,0.20916823577135796,0.21841138770881127,20
23,AttDs,pretrained,train,24,0.9614757634699345,0.9616518991068006,0.0034001342910470913,20,0.0427666492760181,0.21298691965639588,0.2237800285505462,20
24,AttDs,pretrained,train,25,0.9622784275561571,0.9611616596579552,0.004446040007546304,20,0.04430308751761905,0.21328595280647272,0.22420253750245722,20
25,AttDs,pretrained,train,26,0.961510680615902,0.9613188175484538,0.002630443598042163,20,0.042980734258890096,0.21189385261386628,0.22103414192653054,20
26,AttDs,pretrained,train,27,0.9630440082401038,0.9616409755311907,0.005526208116362879,20,0.041803076863288796,0.21614368967711922,0.23085277615603547,20
27,AttDs,pretrained,train,28,0.9622964821755887,0.9622074792161583,0.003256885505413374,20,0.0417673476040363,0.21085867322981353,0.22141425801025463,20
28,AttDs,pretrained,train,29,0.9615789018571377,0.9615131022408605,0.004676587955645398,20,0.045200195163488346,0.20959633886814114,0.2191772070895206,20
29,AttDs,pretrained,train,30,0.9618528932332993,0.9612002439796925,0.00321939560568324,20,0.044017506763339,0.2129552790895104,0.2234907965196548,20
30,AttDs,pretrained,validation,1,0.874406710267067,0.7833695389330387,0.22701256865776803,20,0.2334254905581474,0.31267218030989163,0.19534756462355612,20
31,AttDs,pretrained,validation,2,0.9445262625813485,0.9093449352309108,0.1549740436827905,20,0.07146230340003965,0.23508892003446813,0.21863871586201825,20
32,AttDs,pretrained,validation,3,0.9509488139301538,0.949654077552259,0.004858550825278237,20,0.05775992386043065,0.2248051263391971,0.21844225802200457,20
33,AttDs,pretrained,validation,4,0.9541651718318462,0.953470622189343,0.003757407727098118,20,0.05347766354680055,0.22031958438456054,0.21919460869284188,20
34,AttDs,pretrained,validation,5,0.9542765785008669,0.9546022262424231,0.0033832954875109922,20,0.05136753059923645,0.218085815757513,0.21826019692664614,20
